SMOTE+TL,0.00019595629678249865,482,"(20, 100, 50)","[0.9351620947630923, 0.9301745635910225, 0.942643391521197, 0.9613947696139477, 0.9489414694894147]","[0.9353233830845771, 0.9601990049751243, 0.9402985074626866, 0.94, 0.915]",0.9436632577957349,0.010931795840725058,0.9381641791044775,0.014409083681218678,0.929368029739777,0.9261992619926199,0.9330855018587361,0.9256505576208178
SMOTE+ENN,0.0015441593790813176,244,"(80, 60, 70)","[0.986284289276808, 0.9638403990024937, 0.9738154613466334, 0.9788293897882939, 0.9464508094645081]","[0.9601990049751243, 0.9701492537313433, 0.9850746268656716, 0.96, 0.955]",0.9698440697757474,0.0137846105111697,0.966084577114428,0.01069274027954365,0.9349442379182156,0.8856209150326797,1.0,0.8689138576779026
SMOTE+CNN,0.0012394424703023545,290,"(100, 70, 90)","[0.9600499375780275, 0.9400749063670412, 0.9788029925187033, 0.9750623441396509, 0.9501246882793017]","[0.9353233830845771, 0.9353233830845771, 0.99, 0.95, 0.91]",0.9608229737765448,0.014639494124320827,0.9441293532338308,0.02630012813998628,0.9368029739776952,0.8950819672131147,0.9927272727272727,0.8783269961977186
SMOTE+NCR,0.0003653608697479723,372,"(80, 70, 70)","[0.9688279301745636, 0.956359102244389, 0.9625935162094763, 0.950186799501868, 0.9838107098381071]","[0.9502487562189055, 0.9651741293532339, 0.9601990049751243, 0.93, 0.95]",0.9643556115936809,0.011543888939162885,0.9511243781094528,0.012066603938993312,0.966542750929368,0.9372822299651568,1.0,0.9330855018587361
SMOTE+OSS,0.0012083385365326553,316,"(80, 70, 40)","[1.0, 0.9925558312655087, 0.9776674937965261, 0.9801734820322181, 0.9962825278810409]","[0.9851485148514851, 0.9702970297029703, 0.9653465346534653, 0.9800995024875622, 0.9701492537313433]",0.9893358669950588,0.008859438260097647,0.9742081670853653,0.0072759788985723274,0.9722735674676525,0.9486301369863014,1.0,0.9431818181818182
ADASYN+TL,0.0005980807565705331,346,"(20, 40, 80)","[0.9664179104477612, 0.9738805970149254, 0.9502487562189055, 0.9676616915422885, 0.9776119402985075]","[0.9502487562189055, 0.9751243781094527, 0.9054726368159204, 0.9701492537313433, 0.9502487562189055]",0.9671641791044776,0.009393635616168766,0.9502487562189055,0.024575301562643728,0.9666048237476809,0.9440559440559441,0.9926470588235294,0.9400749063670412
ADASYN+ENN,0.002303871432497317,203,"(70, 90, 80)","[0.9925373134328358, 0.986318407960199, 0.9626865671641791, 0.931592039800995, 0.972636815920398]","[0.9751243781094527, 0.9651741293532339, 0.9651741293532339, 0.9502487562189055, 0.9502487562189055]",0.9691542288557213,0.021476753924526734,0.9611940298507463,0.00964712409436086,0.961038961038961,0.9466192170818505,0.9779411764705882,0.9438202247191011
ADASYN+CNN,0.0011153285814491203,212,"(20, 60, 80)","[1.0, 1.0, 1.0, 0.9977827050997783, 1.0]","[0.9778761061946902, 0.9823008849557522, 0.9822222222222222, 0.9822222222222222, 0.9777777777777777]",0.9995565410199557,0.0008869179600886845,0.9804798426745329,0.002166497926569068,0.971900826446281,0.9476923076923077,1.0,0.9427609427609428
ADASYN+NCR,0.003440633598014362,221,"(30, 90, 60)","[1.0, 1.0, 0.9973924380704041, 1.0, 1.0]","[0.9583333333333334, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 0.9790575916230366]",0.9994784876140809,0.0010430247718383522,0.9791448516579407,0.011410970025013482,0.9805825242718447,0.9632352941176471,1.0,0.9604743083003953
ADASYN+OSS,0.0005279010485262275,229,"(100, 90, 30)","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9543147208121827, 0.9949238578680203, 0.9847715736040609, 0.9847715736040609, 0.9746192893401016]",1.0,0.0,0.9786802030456853,0.01377122839213252,0.9696969696969697,0.9428571428571428,1.0,0.9393939393939394
BSMOTE+TL,0.000784112224704609,487,"(30, 100, 90)","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.98, 0.975, 0.97, 0.975, 0.99]",1.0,0.0,0.978,0.006782329983125274,0.9851024208566108,0.974169741697417,0.9962264150943396,0.9742647058823529
BSMOTE+ENN,0.000506748221705933,278,"(70, 90, 80)","[0.9438202247191011, 0.9612983770287141, 0.9675810473815462, 0.9738154613466334, 0.9763092269326683]","[0.9253731343283582, 0.9552238805970149, 0.965, 0.99, 0.95]",0.9645648674817326,0.01160698901682106,0.9571194029850746,0.021001628255835354,0.9478584729981379,0.9183673469387755,0.9854014598540146,0.908745247148289
KMSSMOTE+NCR,0.0021387883730184373,489,"(100, 80, 70)","[0.9926017262638718, 1.0, 0.966707768187423, 0.9753390875462392, 0.9975369458128078]","[1.0, 0.9950738916256158, 0.9261083743842364, 0.9655172413793104, 0.9603960396039604]",0.9864371055620683,0.013096364874618936,0.9694191093986246,0.026705126291158822,0.9834558823529411,0.9685314685314685,1.0,0.9662921348314607
